Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills, Available,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,2,1,0,0,"Data Analytics, Database Management System (DBMS), English Proficiency (Written), MS-Excel, Python, SQL, Statistics, Tableau, Machine Learning",Yes,Master of Computer Applications (MCA),Data Science,2025,NA,NA,NA,NA
,0,0,0,0,"MS-Office, C#, C++ Programming, English Proficiency (Written), HTML, Internet of Things (IoT), JavaScript, MS-Excel, Social Media Marketing, Software Testing",Yes,Bachelor of Science (B.Sc),Information Technology,2021,NA,1,NA,NA
,2,1,0,0,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, C Programming, C++ Programming, MS-Excel, Python, Machine Learning",Yes,B.Tech,Metallurgical And Materials Engineering,2024,NA,0.806,1,1
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Accounting, Algorithms, Business Analysis, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Financial literacy, MS-Excel, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, Research and Analytics, SQL, Tableau, Data Structures, Financial Modeling, Investing, Stock Trading, Tally",No,B.Tech,Electronics Engineering,2024,0.90,NA,NA,NA
,0,0,0,0,,Yes,Master of Computer Applications (MCA),,2023,NA,NA,NA,NA
,2,1,0,0,"Data Analytics, MS-Excel, Python, Research and Analytics, SQL, Data Science, Machine Learning, Tableau",Yes,Integrated B.Tech & M.Tech,,2024,NA,NA,NA,NA
,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Tableau, SQL",Yes,"Bachelor Of Science (B.Sc), Data Science",,2023,0.96,NA,NA,NA
,1,1,0,0,"MS-Excel, MS-Office, Data Analytics, Image Processing, Machine Learning, Python, R Programming, SQL",Yes,M.Sc. in Data Science,,2023,0.82,0.703,1,1
,3,2,1,0,"Python, Machine Learning, Artificial Intelligence, Natural Language Processing (NLP), SQL",Yes,Master of Technology (M.Tech),,2019,0.80,NA,NA,NA
,2,2,1,0,"MS-Excel, Machine Learning, Power BI, Python, SQL, Tableau, Natural Language Processing (NLP)",Yes,Master of Technology (M.Tech),Electronics and Communication,2014,NA,NA,NA,NA
,2,2,0,0,"Data Analytics, English Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Power BI, Computer Vision, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Image Processing, Java, JavaFX, MS-Excel, Machine Learning, NoSQL, Python, R Programming, SQL, Tableau, Tamil Proficiency (Spoken), French Proficiency (spoken), JavaScript",Yes,Bachelor of Science (B.Sc),Data Science,2023,NA,0.721,1,NA
,2,1,1,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, Python, WordPress, Digital Marketing, JavaScript, Machine Learning, Natural Language Processing (NLP), Search Engine Marketing (SEM), Search Engine Optimization (SEO)",Yes,,,0,NA,NA,NA,NA
,2,1,1,0,"C++ Programming, CSS, HTML, MySQL, Python, Android, Artificial Intelligence, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,1,1
,2,0,0,0,"Data Science, Python, Data Structures",Yes,BE,Electronics and Communication,2025,NA,NA,NA,NA
,2,2,0,0,"C Programming, C++ Programming, Java, Machine Learning, Python, SQL, CSS, Data Science, HTML, JavaScript, OpenCV",Yes,B.Tech (Hons.),CSE Hons DS&AI,2023,NA,0.913,1,NA
,2,2,2,0,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau",Yes,Bachelor of Computer Applications (BCA),Computer Science,2022,NA,0.78,1,NA
,3,3,0,0,"Machine Learning, Python, English Proficiency (Written), Power BI, SQL, Statistics, English Proficiency (Spoken), Online Teaching, Teaching",Yes,Bachelor of Science (B.Sc),Physics,2020,NA,0.74,NA,NA
,0,0,0,0,"English Proficiency (Written), MS-Word, C++ Programming, Digital Marketing, English Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, SQL",Yes,Bachelor of Science (B.Sc),Physics,2022,NA,0.728,NA,NA
,2,0,0,0,"MS-Excel, MySQL, Python, Tableau, R Programming",Yes,Master of Science (M.Sc),Statistics,2023,NA,NA,NA,NA
,2,1,0,1,"Algorithms, Data Structures, MS-Excel, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Git, GitHub, Machine Learning, MySQL",Yes,B.Tech,Computer Science,2023,NA,0.72,1,1
,2,0,0,0,"CSS, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-Word, Power BI, SQL, C Programming, Data Science, Java, Python, Social Media Marketing",Yes,B.Tech,Computer Science & Engineering,2023,NA,0.755,1,1
,2,2,0,0,"C Programming, CSS, Data Structures, HTML, Java, Machine Learning, Python",Yes,B.Tech,Computer Sciences &Engineering,2024,0.89,NA,1,1
,1,0,0,0,"Arduino, Embedded Systems, HTML, VLSI, Python",Yes,B.Tech,Electronics and Communication,2023,NA,0.901,1,1
,0,0,0,0,,Yes,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science & Engineering,2027,NA,NA,NA,NA
,2,0,0,0,"Amazon Web Server (AWS), GitHub, Java, Amazon Web Services (AWS), Cloud Computing, Google Cloud Computing, Python, SQL, Data Structures, Linux, MongoDB, Spring MVC",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,NA,NA
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Product Lifecycle Management(PLM), Research and Analytics, Business Analysis, Data Science, Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Project Management, Python, SQL, Tableau",Yes,B.Tech,computer science,2023,NA,NA,NA,NA
,2,2,2,1,"Cloud Computing, Data Analytics, Machine Learning, Natural Language Processing (NLP), Python, Statistics, Deep Learning",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,NA,NA,NA,NA
,0,0,0,0,"Artificial intelligence, Amazon Web Services (AWS)",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,NA,0.855,NA,1
,1,2,0,1,"Machine Learning, Data Science, Deep Learning, Python, SQL, Statistics",Yes,Post Graduate Programme (PGP),Computational Data Science,2023,NA,NA,NA,NA
,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), CSS, Data Analytics, MS-Excel, MS-Office, MySQL, Python, SQL, Social Media Marketing, Tableau, Creative Writing, Data Science, Deep Learning, Email Marketing, Facebook Marketing, Java, Machine Learning, Power BI, Research and Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",Yes,,Data Analytics,2023,NA,0.0602,1,1
,1,0,0,0,"Apache Kafka, SQLite, Hadoop, Python, SQL",Yes,Master of Computer Applications (MCA),Computer Application,2022,0.79,0.6254,1,1
,1,1,0,0,"Machine Learning, Python, SQL, Statistics",Yes,Ms In Data Science,"Python,sql",2023,1.00,NA,NA,NA
,1,1,0,0,"C++ Programming, Machine Learning, Python, R Programming, SQL",Yes,,,0,NA,NA,1,1
,2,1,1,1,"Content Writing, English Proficiency (Written), Java, MS-PowerPoint, MS-Word, ARM Microcontroller, Arduino, C Programming, C++ Programming, Canva, Cloud Computing, Computer Vision, Data Structures, Database Management System (DBMS), Effective Communication, Embedded Systems, English Proficiency (Spoken), Google Cloud Computing, HTML, Internet of Things (IoT), MS SQL Server, MS-Excel, MS-Office, Microsoft Azure, Microsoft Visual Studio, Python, SQL, Teaching, .NET, Amazon Web Services (AWS), Atmel AVR, CSS, Circuit Design, Data Analytics, Data Science, Deep Learning, Django, Eclipse (IDE), Engineering Drawing, Flask, Flutter, Hadoop, Image Processing, MEAN/MERN Stack, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, Online Teaching, PCB Design, PLC SCADA, R Programming, REST API, Raspberry Pi, ReactJS, Robotics, SQLite, Software Testing, Swing (Java), UI & UX Design",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,NA,NA,NA,NA
,2,2,0,0,"DevOps, Machine Learning, Python",Yes,B.Tech,Computer Science & Engineering,2023,0.78,NA,1,1
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, MySQL, Power BI, Python",Yes,B.Tech,,2022,NA,NA,NA,NA
,2,2,0,2,"Data Analytics, Deep Learning, Machine Learning, Python",Yes,B.Tech,Mechanical Engineering,2023,NA,NA,NA,NA
,2,2,0,0,"Machine Learning, Python",Yes,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2024,NA,0.841,NA,NA
,1,1,0,0,"Artificial Intelligence, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MongoDB, Python, SQL",Yes,Bachelor of Engineering (B.E),,2017,NA,NA,1,1
,1,2,0,1,"Machine Learning, Tableau, Data Science, Deep Learning, MS-Excel, MySQL, Python",Yes,B.Sc,,2022,NA,NA,NA,NA
,3,3,0,0,"Android, Blockchain, C Programming, C#, C++ Programming, CSS, Computer Networking, Data Analytics, Data Structures, Database Management System (DBMS), Django, Git, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, Linux, Machine Learning, MySQL, Node.js, Online Teaching, PHP, Python, React Native, Ruby on Rails, SQL",Yes,B.Tech,Computer Science,2025,NA,NA,NA,NA
,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Power BI, SQL, Tableau, AutoCAD, C Programming, MATLAB, MS-Office, Python",Yes,Bachelor of Engineering (B.E),Biomedical Engineering,2023,NA,0.889,NA,NA
,2,2,0,2,"Data Analytics, Data Science, Deep Learning, Machine Learning, Python, MySQL",Yes,Bachelor of Science (B.Sc),computer science,2022,NA,NA,1,1
,2,1,0,0,"C Programming, HTML, Python, Creative Writing, Java, Machine Learning",Yes,B.Tech,Electronics and Communication,2023,0.74,NA,1,1
,3,3,0,2,"Data Science, Machine Learning, Python, Artificial Intelligence, Data Analytics, Deep Learning, Firebase, Selenium",Yes,B.Tech,Computer Science And Engineering (Data Science),2025,NA,NA,NA,NA
,1,0,0,0,"Eclipse (IDE), Java, Jira, Manual Testing, Selenium, Postman, Python",Yes,Bachelor of Engineering (B.E),Information Technology,2014,NA,NA,NA,NA
,2,1,0,0,"Data Analytics, Python, Data Science, MS-Excel, Machine Learning",Yes,Bachelor of Science (B.Sc),computer science,2023,NA,NA,NA,NA
,2,2,2,2,"Android, Computer Vision, Data Science, Deep Learning, Firebase, Flask, Flutter, Java, Kotlin, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, Python",Yes,Bachelor of Engineering (B.E),Information Technology,2025,NA,0.965,1,1
,2,2,0,2,"MS-Excel, Power BI, Computer Vision, Content Writing, Data Science, Deep Learning, Machine Learning, MySQL, Python, SQL",Yes,B.Tech,Electronics Engineering,2023,NA,0.794,1,1
,2,1,0,0,"C Programming, CSS, Data Structures, English Proficiency (Written), HTML, JavaScript, MS-Excel, Node.js, Python, Bootstrap, Data Science, Django, GitHub, Machine Learning, ReactJS, WordPress",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,NA,1,1,NA
,3,2,2,2,"Computer Vision, Python, Algorithms, Amazon Web Services (AWS), C++ Programming, CSS, Data Structures, Deep Learning, Django, Git, GitHub, HTML, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, ReactJS",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,0.80,NA,NA,NA
,3,0,0,0,"English Proficiency (Spoken), MS-Office, Python",Yes,ITI Electrical Engineering,Science,2026,NA,0.4,1,NA
,2,0,0,0,"Python, Android, Firebase, Java, REST API",Yes,B.Tech,computer science,2021,NA,0.9475,NA,NA
,0,0,0,0,,Yes,Bachelor of Engineering (B.E),Electrical Engineering,2021,NA,NA,NA,NA
,1,0,0,0,"Digital Signal Processing, Embedded Systems, Internet of Things (IoT), Java, MS-Excel, Python",Yes,Bachelor of Engineering (B.E),Electronics and Communication,2021,NA,0.55,1,1
,2,2,0,0,"Canva, LaTeX, MS-Word, Data Analytics, Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, R Programming, SQL, Java",No,M.Sc. in Data Science,Data Science,2024,0.83,0.848,1,1
,3,0,0,0,"C++ Programming, Python, ReactJS, CSS, HTML, JavaScript, MEAN/MERN Stack, Tableau, Video Editing, Video Making",Yes,B.Tech,Artificial Intelligence And Data Science,2025,NA,NA,NA,NA
,3,1,1,1,"Python, Data Structures, SQL, Data Science, Deep Learning, Django, MATLAB, Machine Learning, Natural Language Processing (NLP), Power BI, Tableau",Yes,M.Sc (Information Technology),Data Science,2023,NA,NA,1,NA
,1,2,0,0,"Machine Learning, Artificial Intelligence, Python",Yes,Bachelor of Science (B.Sc),Mathematics,2017,NA,NA,NA,NA
,2,0,0,0,"C Programming, C++ Programming, Java, MS-Excel, Python",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,1,NA
,2,3,2,2,"Machine Learning, Computer Vision, Deep Learning, Natural Language Processing (NLP), Python, Statistics",Yes,Post Graduate Diploma,Data Science,2024,NA,NA,NA,NA
,2,1,0,1,"Physics, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, PCB Soldering, Python, Algorithms, Computer Vision, Deep Learning, Machine Learning, MySQL, Power BI, Research and Analytics, SQL",Yes,Master of Science (M.Sc),Physics,2021,NA,0.8,NA,NA
,2,2,0,2,"C Programming, Data Science, Data Structures, Deep Learning, Java, MS-Excel, Machine Learning, Python, SQL",Yes,B.Tech,Computer Science & Engineering,2023,NA,0.92,1,1
,3,3,1,2,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Mathematics, Python, Amazon Web Services (AWS), Computer Networking, Computer Vision, Deep Learning, Digital Signal Processing, Java, JavaScript, MATLAB, MS-Excel, OpenCV, R Programming, SQL, SQLite, Natural Language Processing (NLP)",Yes,B.Tech,Computer Science,2024,NA,0.751,1,1
,3,3,2,2,"CSS, Express.js, HTML, JavaScript, MEAN/MERN Stack, Machine Learning, MongoDB, Neural Networks, Python, Redux, Amazon Web Server (AWS), Amazon Web Services (AWS), AngularJS, Artificial intelligence, Blockchain, Deep Learning, Django, Flask, Linux, Natural Language Processing (NLP), NoSQL, Node.js, ReactJS, SQL, Unity 3D, Bootstrap, C#, Cloud Computing, Java, MySQL, Next.js, Solidity, Unreal Engine",Yes,Master of Science (M.Sc),Computer Science,2023,NA,0.975,1,1
,2,0,0,0,"ASP.NET, Bootstrap, C#.NET, CSS, HTML, JavaScript, Postman, Python, REST API, XML, Angular 2.0, Data Analytics",Yes,Bachelor of Commerce (B.Com),Commerce,2022,NA,NA,NA,NA
,1,1,0,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, Bootstrap, C++ Programming, MS-Excel, MS-PowerPoint, MS-Word, SQL, Machine Learning, Python",Yes,B.Tech (Hons.),Computer Science & Engineering,2023,NA,0.89,1,1
,0,0,0,0,,Yes,,Data Science,2023,NA,NA,NA,NA
,0,0,0,0,"Content Writing, English Proficiency (Written), Research and Analytics",Yes,Bachelor of Arts (B.A.),Geography,2022,0.61,NA,1,1
,0,0,0,0,"Canva, Figma",Yes,Integrated B.E & M.Sc,,2016,NA,NA,NA,NA
,1,0,0,0,"HTML, Java, MS-Excel, MS-Word, Python",Yes,Bachelor of Computer Applications (BCA),Computer Application,2024,NA,NA,1,1
,2,2,0,1,"LaTeX, Machine Learning, Python, Deep Learning, MS-Excel",Yes,Master of Science (M.Sc),,2023,NA,NA,NA,NA
,2,0,0,0,"C Programming, Java, Python, SQL, Salesforce, Tableau",Yes,B.Tech,,2023,NA,NA,NA,NA
,2,2,1,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, MySQL, Neural Networks, PostgreSQL, Python, SQL, Computer Vision, Natural Language Processing (NLP)",Yes,Master of Technology (M.Tech),Data Science,2023,0.75,NA,NA,NA
,3,3,3,2,"Data Analytics, Data Science, English Proficiency (Spoken), Image Processing, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Project Management, Python, Research and Analytics, Artificial Intelligence, Business Analysis, Computer Vision, Deep Learning, GitHub, MS-Excel, MS-PowerPoint, MySQL, Neural Networks, Power BI, SQL, Statistical Modeling, Tableau, Video Editing",Yes,Advanced Certification In Data Science,Data Analytics,2023,NA,1,1,1
,2,2,0,0,"Hindi Proficiency (Spoken), Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Financial literacy, Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Python, Data Science, SQL",Yes,MBA,Finance,2019,NA,NA,NA,NA
,2,0,0,0,"Data Analytics, Data Structures, MS-Excel, MySQL, Power BI, Python",Yes,B.Tech,Electronics and Communication,2023,NA,0.75,NA,NA
,2,2,0,0,"Java, MS-Excel, Machine Learning, Python, SQL",Yes,BE,Computer Science & Engineering,2023,0.79,NA,1,1
,2,2,0,0,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-PowerPoint, Machine Learning, MySQL, Python, Telugu Proficiency (Spoken)",Yes,Post Graduate Diploma in Management (P.G.D.M.),Marketing,2020,0.71,0.578,1,1
,2,1,0,0,"English Proficiency (Spoken), Embedded Systems, English Proficiency (Written), HTML, Python, Adobe Photoshop, CSS, Digital Advertising, Digital Art, Digital Marketing, Java, MS-Excel, Machine Learning, WordPress",Yes,Btech,Electronics and Communication,2023,0.83,NA,NA,NA
